Mouse,w9,Group
43176,12.03208556,SNLDYT
43509,0.943890928,SNLDYT
44215,0.37739805,SNLDYT
46030,10.19709666,SNLDYT
46031,6.383849407,SNLDYT
42312,0,SNLDYT
42313,1.518987342,SNLDYT
42489,12.80659053,SNLDYT
42629,0.916108236,SNLDYT
42308,0.719568259,SNLDYT
47517,1.035673188,SNLDYT
45007,0,ShamDYT
45136,0.56022409,ShamDYT
45339,0.434940196,ShamDYT
46251,5.204363254,ShamDYT
46439,-1,ShamDYT
47276,0.526008182,ShamDYT
47506,0,ShamDYT
46761,1.069359869,ShamDYT
43180,0,SNLWT
45196,1.450638012,SNLWT
45137,0.965665236,SNLWT
42625,0.349141693,SNLWT
46432,1.875977071,SNLWT
46438,0,SNLWT
42314,5.194805195,SNLWT
42315,0.354260972,SNLWT
42353,8.429118774,SNLWT
42355,0.359066427,SNLWT
42356,3.617363344,SNLWT
46252,0.349141693,SNLWT
47006,14.05056847,SNLWT
47008,1.611459266,SNLWT
47508,2.215384615,SNLWT
122,0,ShamWT
47235,0,ShamWT
47511,0,ShamWT
47512,0.65347613,ShamWT
47514,0,ShamWT
